,Unnamed: 0,title,price,bedrooms,bathrooms,area,location
445,445,Aspindale Park - House,"$75,000",4 bedrooms,2 bathrooms,200 m²,harare west
446,446,Mabelreign - House,"$155,000",3 bedrooms,2 bathrooms,1330 m²,harare west
447,447,Arlington - Townhouse Complex,"$125,000",3 bedrooms,2 bathrooms,324 m²,harare south
448,448,Southlea Park - House,"$30,000",3 bedrooms,2 bathrooms,200 m²,harare south
449,449,Hogerty Hill - House,"$370,000",4 bedrooms,3 bathrooms,2911 m²,harare north
450,450,New Marlborough - House,"$100,000",4 bedrooms,2 bathrooms,500 m²,harare west
451,451,Budiriro - House,"$40,000",4 bedrooms,1 bathrooms,282 m²,harare high density
452,452,Burnside - House,"$399,000",5 bedrooms,3 bathrooms,4047 m²,bulawayo east
453,453,New Marlborough - House,"$120,000",2 bedrooms,1 bathrooms,2000 m²,harare west
454,454,Southview Park - House,"$50,000",3 bedrooms,not stated,222 m²,harare south
455,455,Gletwin Park - House,"$800,000",12 bedrooms,not stated,3273 m²,harare north
456,456,Borrowdale - House,"$1,000,000",5 bedrooms,not stated,4316 m²,harare north
457,457,Emerald Hill - House,"$350,000",6 bedrooms,3 bathrooms,1790 m²,harare west
458,458,Norton - House,"$85,000",5 bedrooms,3 bathrooms,1890 m²,norton
459,459,Chitungwiza - House,"$26,000",4 bedrooms,not stated,200 m²,chitungwiza
460,460,Shawasha Hills - House,"$395,000",3 bedrooms,not stated,10000 m²,harare north
461,461,Mount Pleasant Heights - House,"$400,000",5 bedrooms,not stated,2000 m²,harare north
462,462,Borrowdale Brooke - House,no price,5 bedrooms,5 bathrooms,4994 m²,harare north
463,463,Kuwadzana - House,"$35,000",4 bedrooms,1 bathrooms,200 m²,harare high density
464,464,Kuwadzana - House,"$40,000",5 bedrooms,2 bathrooms,200 m²,harare high density
465,465,Beitbridge - House,"$30,000",2 bedrooms,1 bathrooms,800 m²,beitbridge
466,466,Borrowdale - Townhouse Complex,"$375,000",3 bedrooms,3 bathrooms,577 m²,harare north
467,467,Barham Green - House,"$65,000",3 bedrooms,1 bathrooms,595 m²,bulawayo south
468,468,Mount Pleasant - Townhouse Complex,"$600,000",10 bedrooms,3 bathrooms,4120 m²,harare north
469,469,Mabvazuva - House,"$90,000",4 bedrooms,not stated,3 bathrooms,ruwa
470,470,Mainway Meadows - House,"$110,000",8 bedrooms,2 bathrooms,540 m²,harare south
471,471,Ruwa - House,"$70,000",4 bedrooms,2 bathrooms,400 m²,ruwa
472,472,Bloomingdale - House,"$110,000",3 bedrooms,2 bathrooms,420 m²,harare west
473,473,Sandton Park - House,"$125,000",5 bedrooms,2 bathrooms,2000 m²,harare west
474,474,Gumtree - House,"$350,000",7 bedrooms,7 bathrooms,89030 m²,bulawayo east
475,475,"Mt Hampden - House, Townhouse Complex","$1,150,000",5 bedrooms,7 bathrooms,1000 m²,harare west
476,476,Burnside - House,"$275,000",4 bedrooms,2 bathrooms,4168 m²,bulawayo east
477,477,Highlands - Townhouse Complex,"$1,200,000",4 bedrooms,4 bathrooms,4047 m²,harare north
478,478,Greystone Park - House,"$550,000",5 bedrooms,not stated,5000 m²,harare north
479,479,Pomona - House,"$90,000",4 bedrooms,2 bathrooms,2000 m²,harare north
480,480,Arlington - House,"$155,000",3 bedrooms,2 bathrooms,325 m²,harare south
481,481,Hatfield - House,"$300,000",5 bedrooms,2 bathrooms,10000 m²,harare south
482,482,Murambi - House,"$525,000",4 bedrooms,3 bathrooms,4141 m²,mutare
483,483,St. Marys - House,"$12,000",2 bedrooms,1 bathrooms,240 m²,chitungwiza
